URI,CIS,libelle,actif,dateDebut,dateFin,codeATC,libelleATC,typeProcedureCourante,statutCourant,categorie,causeNonVirtualisation,causeExceptionPrescriptionDC
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_61348217,61348217,"PARATERAX 8 mg/2,5 mg, comprimé",true,2009-01-07,,C09BA04,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60618161,60618161,"DONEPEZIL BIOGARAN 5 mg, comprimé pelliculé",true,2011-08-04,,N06DA02,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_68822568,68822568,"ODRIK 0,5 mg, gélule",true,1992-02-19,,C09AA10,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_62606357,62606357,"LISINOPRIL ZENTIVA 20 mg, comprimé sécable",true,2005-05-04,,C09AA03,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_66520037,66520037,"VOTUBIA 10 mg, comprimé",true,2011-09-02,,L01EG02,,Procédure centralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60110031,60110031,"EAU POUR PREPARATIONS INJECTABLES FRESENIUS, solution pour préparation injectable",true,1996-12-10,,V07AB,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_69494708,69494708,"SOLARAZE 3 %, gel",true,1998-12-17,,D11AX18,,Procédure de reconnaissance mutuelle,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_63733514,63733514,"EXEMESTANE VIATRIS 25 mg, comprimé pelliculé",true,2011-02-11,,L02BG06,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_69066650,69066650,"AMLODIPINE TEVA 10 mg, gélule",true,2006-02-08,,C08CA01,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_61062358,61062358,"ROSUVASTATINE EVOLUGEN 20 mg, comprimé pelliculé",true,2017-07-31,,C10AA07,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_68589847,68589847,"PHIZOE 0,02 mg/3 mg, comprimé pelliculé",true,2019-08-12,,G03AA12,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_67367256,67367256,"OLANZAPINE SANDOZ 5 mg, comprimé pelliculé",true,2008-07-03,,N05AH03,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_62056415,62056415,"PONVORY 20 mg, comprimé pelliculé",true,2021-05-19,,L04AA50,,Procédure centralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_61162305,61162305,"DOLKO 1 g, comprimé sécable",false,2003-08-06,2022-09-12,N02BE01,,Procédure nationale,Archivé,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_65650743,65650743,"ATORVASTATINE BGR 40 mg, comprimé pelliculé",true,2011-11-25,,C10AA05,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60292267,60292267,"IFOSFAMIDE EG 40 mg/ml, solution pour perfusion",false,2005-04-05,2020-08-26,L01AA06,,Procédure nationale,Suspension,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60200938,60200938,"RETACRIT 4000 UI/0,4 ml, solution injectable en seringue préremplie",true,2007-12-18,,B03XA01,,Procédure centralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60855566,60855566,"NALSCUE 0,9 mg/0,1 ml, solution pour pulvérisation nasale en récipient unidose",false,2017-07-28,2022-01-19,V03AB15,,Procédure nationale,Archivé,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_68323818,68323818,"RESPREEZA 1000 mg, poudre et solvant pour solution injectable/ perfusion",true,2015-08-20,,B02AB02,,Procédure centralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_67119549,67119549,"ROZEX 0,75 %, émulsion pour application cutanée",true,1999-11-22,,D06BX01,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_63276866,63276866,"PERINDOPRIL ARROW 8 mg, comprimé",false,2008-05-27,2021-03-02,C09AA04,,Procédure décentralisée,Archivé,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_64806919,64806919,"PANTOPRAZOLE ARROW LAB 20 mg, comprimé gastro-résistant",true,2011-03-29,,A02BC02,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_69194835,69194835,"BISOPROLOL/HYDROCHLOROTHIAZIDE ZENTIVA 5 mg/6,25 mg, comprimé pelliculé",true,2009-11-05,,C07BB07,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_64921540,64921540,"REPAGLINIDE ARROW LAB 1 mg, comprimé",true,2015-08-07,,A10BX02,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_64500146,64500146,"MEMANTINE HCS 20 mg, comprimé pelliculé",true,2013-02-15,,N06DX01,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_64182868,64182868,"SPASMAG, gélule",true,1980-05-06,,A12CC02,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60300408,60300408,"NIFUROXAZIDE ARROW 200 mg, gélule",false,2002-03-13,2022-07-08,A07AX03,,Procédure nationale,Archivé,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_64593766,64593766,"TIBOLONE VIATRIS 2,5 mg, comprimé",true,2019-02-19,,G03CX01,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_63781726,63781726,"AQUAREST 0,2 %, gel opthalmique en récipient unidose",true,2008-12-16,,S01XA20,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_61613434,61613434,"OXYNORM 5 mg, gélule",true,2003-06-11,,N02AA05,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_69622218,69622218,"HOLOXAN 2000 mg, poudre pour usage parentéral",true,1994-05-25,,L01AA06,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_62241816,62241816,"VALSARTAN ARROW LAB 40 mg, comprimé pelliculé sécable",true,2012-11-02,,C09CA03,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_68987922,68987922,"EPITOMAX 25 mg, gélule",true,1998-08-24,,N03AX11,,Procédure de reconnaissance mutuelle,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_68429141,68429141,"RIVOTRIL 2 mg, comprimé quadrisécable",true,1995-02-09,,N03AE01,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_67177673,67177673,"ACTILYSE 2 mg, poudre pour solution injectable et perfusion",true,2011-07-04,,B01AD02,,Procédure de reconnaissance mutuelle,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_69318749,69318749,"SUXAMETHONIUM AGUETTANT 50 mg/mL, solution injectable",false,2010-03-11,2018-03-05,M03AB01,,Procédure nationale,Archivé,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_67490967,67490967,"CEFIXIME ARROW LAB 200 mg, comprimé pelliculé",true,2018-07-20,,J01DD08,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_61598594,61598594,"VENLAFAXINE EVOLUGEN PHARMA LP 75 mg, gélule à libération prolongée",true,2008-09-11,,N06AX16,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_67545424,67545424,"CHONDROSULF 400 mg, gélule",true,1993-01-25,,M01AX25,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60470798,60470798,"RINGER LACTATE LAVOISIER, solution pour perfusion",true,1998-02-03,,B05BB01,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_66638701,66638701,"ALGINATE DE SODIUM/BICARBONATE DE SODIUM SANDOZ 500 mg/267 mg, suspension buvable en sachet",true,2014-07-01,,A02BX,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_66645368,66645368,"FLUOXETINE VIATRIS 20 mg, gélule",true,2000-05-03,,N06AB03,,Procédure de reconnaissance mutuelle,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_63938387,63938387,"PYRALVEX, gel buccal et gingival",true,1996-02-29,,A01AD11,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_65242784,65242784,"MEBEVERINE ZYDUS 200 mg, comprimé sécable",true,2001-02-21,,A03AA04,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_67316347,67316347,"ROSUVASTATINE ALMUS 20 mg, comprimé pelliculé",true,2017-02-09,,C10AA07,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_65065017,65065017,"DOMPERIDONE ZENTIVA 10 mg, comprimé orodispersible",false,2010-02-11,2023-04-21,A03FA03,,Procédure nationale,Archivé,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_61100093,61100093,"XYLOCARD 50 mg/ml, solution injectable pour perfusion",true,1986-06-20,,C01BB01,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_65542326,65542326,"CLOXACILLINE ARROW 500 mg, gélule",true,2015-06-22,,J01CF02,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_66011780,66011780,"PANSORAL, gel pour application buccale",true,1981-07-31,,A01AD11,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_64716418,64716418,"OXYBUTYNINE SANDOZ 5 mg, comprimé sécable",false,1999-01-06,2021-11-23,G04BD04,,Procédure nationale,Archivé,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_65340488,65340488,"SELOZOK LP 95 mg, comprimé pelliculé à libération prolongée",true,1988-06-22,,C07AB02,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_65600733,65600733,"BENLYSTA 400 mg, poudre pour solution à diluer pour perfusion",true,2011-07-13,,L04AA26,,Procédure centralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_61787869,61787869,"BUSULFAN TILLOMED 6 mg/ml, solution à diluer pour perfusion",true,2018-02-16,,L01AB01,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60731732,60731732,"VITAROS 300 microgrammes, crème",true,2013-12-16,,G04BE01,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_65440620,65440620,"CEFTRIAXONE VIATRIS 1 g/3,5 ml, poudre et solvant pour solution injectable (IM)",true,2000-10-19,,J01DD04,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_66796142,66796142,"LEXOMIL 6 mg, comprimé quadrisécable",true,1988-05-06,,N05BA08,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60703487,60703487,"TAHOR 80 mg, comprimé pelliculé",true,2000-10-09,,C10AA05,,Procédure de reconnaissance mutuelle,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_64207990,64207990,"PARACETAMOL SANDOZ CONSEIL 500 mg, comprimé",true,1998-09-22,,N02BE01,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60803434,60803434,"DARUNAVIR ZENTIVA 400 mg, comprimé pelliculé",true,2018-02-19,,J05AE10,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_68281778,68281778,"ESTRAPATCH 40 microgrammes/24 heures, dispositif transdermique",true,2001-04-04,,G03CA03,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_63485232,63485232,"IBUPRADOLL 400 mg, capsule molle",true,2016-08-16,,N02BG,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_69867865,69867865,"AFINITOR 5 mg, comprimé",true,2009-08-03,,L01EG02,,Procédure centralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_61634827,61634827,"AMOXICILLINE ACIDE CLAVULANIQUE SANDOZ 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)",true,2002-05-21,,J01CR02,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_66660014,66660014,"NATRIXAM 1,5 mg/5 mg, comprimé à libération modifiée",true,2014-02-13,,C08GA02,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60486279,60486279,"AGOMÉLATINE HCS 25 mg, comprimé pelliculé",false,2018-08-06,2022-12-05,N06AX22,,Procédure décentralisée,Archivé,,,
